common_name,botanical_name,māori_name,family,life_cycle,is_deciduous,sun,soil_ph,soil_type,max_height_m,max_spread_m,growth_rate,life_expectancy_years,propagation_method,sow_depth_cm,germination_days,time_to_maturity_years,flowering_months,fruiting_months,birds_attracted,traditional_uses,cultural_significance,coastal_notes,riparian_use,pest_disease_notes,slug,regions.auckland.planting_season,regions.auckland.planting_notes,regions.auckland.established_years,regions.christchurch.planting_season,regions.christchurch.planting_notes,regions.christchurch.established_years
Kohūhū,Pittosporum tenuifolium,Kohūhū,Pittosporaceae,shrub,False,"full sun to part shade, full shade OK",5.5-7.5,"well-draining, adaptable, tolerates clay",4.0,3.0,moderate,100,"cuttings, seed",0.5,60-120,6,"[9, 10, 11, 12]","[12, 1, 2]","[""t\u016b\u012b"", ""bellbird"", ""Waxeyes""]",Fragrant leaves used in perfumes and sachets; wood for small implements; resin (gum) medicinally; hedging and shelter,Recognised by its distinctive dark-green wavy leaves and fragrant night-blooming flowers; used in traditional scent bags,Coastal and inland; tolerates wind and salt-spray when established; good for coastal gardens,Tolerates some wet conditions; good for stabilising slopes and banks,Bronze bug (Thaumastocoris) can defoliate; pittosporum scale; generally tough when healthy,kohuhu,,,,,,
Lemonwood / Tarata,Pittosporum eugenioides,Tarata,Pittosporaceae,shrub,False,full sun to part shade,6.0-7.5,"well-draining, moist, fertile",6.0,4.0,moderate,100,"cuttings, seed",0.5,30-90,8,"[8, 9, 10, 11]","[12, 1, 2]","[""t\u016b\u012b"", ""bellbird"", ""Waxeyes"", ""native insects""]","Leaves have strong lemon scent — used in perfumes, placed among clothing; medicinal (infusions for colds); ornamental",Valued for its fragrant leaves; often planted near sleeping areas; associated with purity and protection,Lowland and coastal; tolerates some salt-spray; prefers sheltered inland sites,Good for stabilising banks; prefers moist well-drained soil; not for constantly wet sites,Bronze bug and pittosporum scale can affect; generally healthy in good conditions,tarata,,,,,,
Mapou / Mātāī,Myrsine australis,Mapou,Primulaceae,shrub,False,"full sun to part shade, full shade OK",5.5-7.5,"well-draining, adaptable, tolerates clay and dry",4.0,2.5,moderate,150,"cuttings, seed",0.5,30-90,6,"[8, 9, 10, 11]","[12, 1, 2, 3]","[""t\u016b\u012b"", ""bellbird"", ""Waxeyes"", ""kerer\u016b""]","Wood for small implements; berries eaten by children (mildly toxic raw, cooked); medicinal (bark for skin conditions); hedging and binding soil",Common around old settlement sites; indicator of fertile soil; sometimes used in rongoā,Coastal and inland; tolerates wind and salt-spray; good for exposed gardens,Excellent for stabilising slopes and banks; tolerates dry to moist conditions,Very hardy; minimal issues; occasional aphids or mealybugs,mapou,,,,,,
Five Finger / Pseudopanax,Pseudopanax arboreus,Kōtuku (some regions),Araliaceae,shrub,False,"full sun to part shade, shade tolerant",5.5-7.5,"well-draining, moist, fertile",3.0,2.0,moderate,80,"cuttings, seed",0.5,30-90,5,"[9, 10, 11, 12]","[2, 3, 4]","[""t\u016b\u012b"", ""bellbird"", ""Waxeyes"", ""kerer\u016b""]",Leaves and shoots eaten in times of scarcity (cooked); medicinal (bark and leaves as poultices); wood for small tools; important for bird-attracting,Distinctive palmate leaves; common in coastal and lowland forest; larval food for some native butterflies,Common coastal shrub; salt-tolerance good; wind hardy when established,Good for stabilising banks and slopes; prefers moist well-drained soil,Very healthy; few pest issues; can suffer in extreme drought,five-finger,,,,,,
Lancewood / Horoeka,Pseudopanax crassifolius,Horoeka,Araliaceae,shrub,False,full sun to part shade,5.5-7.5,"well-draining, adaptable",3.0,1.5,moderate,60,"cuttings, seed",0.5,30-90,5,"[10, 11, 12, 1]","[2, 3, 4]","[""t\u016b\u012b"", ""bellbird"", ""Waxeyes""]",Young leaves cooked and eaten in times of scarcity; wood very tough — used for implements; medicinal (bark); distinctive juvenile form valued in gardens,Distinctive juvenile and adult forms (transformation over decades); symbol of change; important in Māori tradition as marker of forest succession,Coastal and inland; tolerates wind and salt-spray; good for exposed gardens,Good for stabilising slopes and banks; tolerates dry to moist conditions,Very hardy; minimal issues; may get leaf spot in humid conditions,lancewood,,,,,,
Cabbage Tree / Tī,Cordyline australis,Tī,Asparagaceae,tree,False,full sun to part shade,6.0-7.5,"well-draining, adaptable, tolerates clay",20.0,4.0,slow_moderate,200,"stem cuttings, division",,,20,"[11, 12, 1, 2]","[2, 3, 4]","[""t\u016b\u012b"", ""bellbird"", ""Waxeyes"", ""kerer\u016b""]","Fibre for weaving (kete, mats); food (cooked heart); medicinal (bark for wounds); fire starter (old leaves dry quickly); thatching",One of the most iconic NZ plants; often features in Māori legends; clusters indicate fertile soil; planted at marae,Good coastal tolerance; salt spray and wind OK when established; young plants need some shelter,Tolerates periodic wet feet; good for riparian edges and gully planting,Sudden decline disease affects older trees; generally very tough; CBD cabbage trees can have issues,cabbage-tree,,,,,,
Silver Fern / Ponga,Cyathea dealbata,Ponga,Cyatheaceae,fern,False,part shade to full shade,5.5-6.5,"moist, well-draining, rich organic matter",10.0,3.0,moderate,150,"spore, division",,spores take months; difficult from seed,10,,,"[""native insects"", ""ferny habitat for small birds""]","Fronds used for roofing,linings; silver underside used for marking trails; medicinal (pith for wounds); food (pith and young fiddleheads cooked)",Iconic emblem of NZ; silver underside recognised worldwide; used in Māori carving and tattoos; national symbol,Lowland and montane; prefers sheltered forest conditions; not for exposed coastal sites,Good for stabilising moist banks and gullies; prefers constant moisture,Scale insects can infest; needs consistent moisture; will suffer in dry exposed sites,ponga,,,,,,
Toetoe,Austroderia toetoe,Toetoe,Poaceae,grass,False,full sun to part shade,5.5-7.5,"moist to wet, tolerates periodic flooding, clay OK",3.0,2.0,fast,long-lived perennial,division,,,3,"[9, 10, 11, 12, 1, 2]","[12, 1, 2]","[""native skinks"", ""lizards"", ""ground-nesting birds"", ""insects""]","Thatching for roofs (traditional whare); woven mats, baskets, and toys; bedding; medicinal (ash for wounds); windbreak and sand stabilisation",Important traditional material plant; toetoe thatch considered durable and waterproof; often planted around marae and settlements,Excellent coastal tolerance; salt spray and wind hardy; stabilises dunes and coastal cliffs,Excellent for riparian planting; tolerates periodic flooding; stabilises stream banks,Very hardy; minimal issues; can get rust in very humid conditions; generally pest-free,toetoe,,,,,,
Kawakawa,Macropiper excelsum,Kawakawa,Piperaceae,shrub,False,full shade to part shade,5.5-6.5,"moist, rich, well-draining, heavy shade OK",4.0,3.0,moderate,50,"seed, cuttings",0.5,90-180 (slow),5,"[8, 9, 10, 11, 12]","[2, 3, 4]","[""t\u016b\u012b"", ""kerer\u016b"", ""bellbird""]","Leaves used medicinally as rongoā for wounds, skin conditions, and as relaxant; leaves used in traditional karakia and purification; fruit edible in small quantities",Sacred plant used in Māori ceremony and healing; distinctive heart-shaped leaves; associated with water and healing; kawakawa is a taonga,"Lowland forest species; not coastal; needs sheltered, humid conditions",Excellent for shady streambanks and gully planting; loves moist conditions,Leaf miner can affect; otherwise healthy in right conditions; needs constant moisture and shelter,kawakawa,,,,,,
Mountain Flax / Wharariki,Phormium cookianum,Wharariki,Asphodelaceae,flax,False,full sun to part shade,5.5-7.5,"well-draining, dry to moist, tolerates poor soils",2.5,2.0,moderate,indeterminate,division,,,4,"[9, 10, 11, 12, 1, 2]","[12, 1, 2]","[""t\u016b\u012b"", ""bellbird"", ""Waxeyes""]","Weaving (finer than harakeke — used for delicate work: kete, piupiu, cloaks); medicinal; fibre for fishing lines and traps",Superior weaving flax; taonga species; specific varieties highly prized for weaving quality; mountain flax considered highest quality,Coastal and alpine; more tolerant of dry conditions than harakeke; salt-spray OK,Good for riparian planting; tolerates some wet but prefers well-drained,Slug and snail damage; otherwise hardy; excess fertiliser causes leaf drop,mountain-flax,,,,,,
Coprosma,Coprosma robusta,Karamū,Rubiaceae,shrub,False,full sun to part shade,5.5-7.5,"well-draining, adaptable, tolerates clay and dry",4.0,3.0,fast,50,"cuttings, seed",0.5,30-90 (improve with smoke),4,"[8, 9, 10, 11]","[2, 3, 4, 5]","[""t\u016b\u012b"", ""bellbird"", ""Waxeyes"", ""kerer\u016b""]","Leaves used medicinally as rongoā for skin conditions, wounds, and as a purifying agent; fumigation; sometimes used in traditional healing. [truncated in source research for brevity — please expand]",Common throughout NZ; important food source for birds; used in traditional medicine and as a general purpose shrub,Coastal and inland; tolerates salt spray and wind; excellent for exposed gardens,Good for stabilising slopes and banks; tolerates dry to moist conditions,Very hardy; minimal issues; occasional aphids; can get leaf spot in humid conditions,karamu,,,,,,
Hangehange,Geniostoma ligustrifolium,Hangehange,Loganiaceae,shrub,False,"full sun to part shade, shade tolerant",5.5-7.0,"moist, well-draining, rich organic matter",2.5,1.5,moderate,40,"cuttings, seed",0.5,30-90,4,"[8, 9, 10, 11, 12]","[2, 3, 4, 5]","[""t\u016b\u012b"", ""bellbird"", ""Waxeyes"", ""small birds""]","Leaves used medicinally as rongoā for skin conditions, wounds, and as a purifying agent; fumigation; sometimes used in شعر",Traditional medicinal plant; used in purification ceremonies; fragrant leaves; common in native gardens,Lowland and coastal; tolerates light salt spray; prefers sheltered inland sites,Good for stabilising banks in shady gullies; loves consistent moisture,Very healthy; few issues; can get scale insects; needs moist conditions,hangehange,,,,,,
